ts	imei	mwra	c.android.youtube	c.katana	c.dogalize	c.android.chrome	c.android.gm	c.UCMobile.x86	c.raider	c.android.vending	c.updateassist	c.UCMobile.intl
2018-05-05 10:00:00	3590433799317661057	1.00000	12.57832	15.81566	11.44041	7.54471	8.14947	74.82810	98.66217	19.26184	99.50125	33.52075
2018-05-05 10:01:00	3590433799317661073	0.00000	14.53473	5.10559	13.23860	9.54599	12.96218	94.21770	33.36502	48.11006	96.54337	29.85427
2018-05-05 10:02:00	863033069630348099	1.00000	14.72129	13.76187	11.27464	16.56377	12.07414	73.70492	58.77622	31.20193	72.87608	42.70285
2018-05-05 10:03:00	359043379931766007	1.00000	14.17165	12.23936	8.53245	12.92046	12.97893	96.94804	65.95054	65.03366	15.21255	42.88917
2018-05-05 10:04:00	8630330696303482071	1.00000	14.52559	12.21164	10.68598	11.10452	11.09764	72.91827	69.47889	94.70717	83.84140	86.84950
2018-05-05 10:05:00	8630330696303482329	1.00000	13.43882	14.16979	9.88490	13.37716	14.36973	84.43373	51.91703	17.39236	41.25137	27.91470
2018-05-05 10:06:00	8630330696303481487	0.00000	13.51942	11.63543	11.55912	12.90387	14.80524	7.55243	81.08507	24.05690	43.29725	37.79062
2018-05-05 10:07:00	3590433799317661388	1.00000	11.04386	14.58866	10.46866	14.65591	13.76359	21.86810	79.79717	77.54730	31.74054	89.83952
2018-05-05 10:08:00	863033069630348727	0.00000	14.51724	11.73667	10.82861	11.59195	13.20239	13.03939	99.47721	48.81029	19.62141	80.56946
2018-05-05 10:09:00	359043379931766577	0.00000	12.43051	8.45976	11.60087	9.99046	12.30269	37.49483	97.76784	0.65265	77.98577	85.89645
2018-05-05 10:10:00	359043379931766361	1.00000	11.00940	15.15768	12.57964	15.64827	15.14034	24.78539	65.93227	67.36826	17.38416	16.27269
2018-05-05 10:11:00	3590433799317661628	0.00000	17.51757	8.61559	13.99496	10.55815	12.22273	15.73877	40.73138	11.09333	17.96072	33.40804
2018-05-05 10:12:00	359043379931766627	1.00000	12.12899	12.10184	11.73856	7.87096	10.51985	61.93781	18.53989	67.25076	52.25757	35.89554
2018-05-05 10:13:00	3590433799317662030	0.00000	14.45556	11.06935	14.86078	12.54058	10.73818	97.04363	79.82865	36.13659	33.66108	96.80268
2018-05-05 10:14:00	359043379931766270	1.00000	14.03263	12.49587	8.06434	13.08950	15.54589	86.61488	72.37545	65.09916	45.52247	18.82577
2018-05-05 10:15:00	863033069630348727	0.00000	12.60137	13.91587	12.96083	15.76331	12.62282	6.15039	26.06233	53.00217	61.38866	60.35410
2018-05-05 10:16:00	359043379931766809	1.00000	12.51001	15.03730	12.60330	13.06892	15.09431	36.21230	97.62101	82.83926	10.30991	51.72260
2018-05-05 10:17:00	863033069630348297	1.00000	18.27518	15.30658	8.21217	14.57130	13.33755	15.47665	28.98646	75.86561	2.09330	79.85840
2018-05-05 10:18:00	359043379931766825	1.00000	12.57199	14.16706	10.19297	15.11403	12.00830	84.51115	82.56528	29.21312	74.28966	49.54391
2018-05-05 10:19:00	359043379931766205	0.00000	14.23068	9.38285	12.55764	8.16352	12.40825	10.20569	83.73604	7.86608	58.70512	59.22569
2018-05-05 10:20:00	8630330696303481297	1.00000	16.79439	14.26561	9.39071	6.75305	8.99126	6.50812	98.09606	96.30546	77.51814	96.88872
2018-05-05 10:21:00	359043379931766502	0.00000	14.32065	6.65208	10.03352	7.22940	12.39237	53.70636	14.10234	75.73165	3.64338	41.47945
2018-05-05 10:22:00	3590433799317662154	0.00000	13.97195	5.48209	11.00654	9.40176	13.94975	60.58506	37.81602	62.65943	39.01130	53.75117
2018-05-05 10:23:00	359043379931766882	1.00000	14.47504	12.79027	13.69565	10.49423	8.08018	52.34811	58.66482	75.40295	73.98016	28.86791
2018-05-05 10:24:00	8630330696303481420	0.00000	17.29502	8.55193	14.37816	10.25715	10.98943	35.43818	42.24483	80.98197	22.78504	36.29336
2018-05-05 10:25:00	359043379931766908	0.00000	16.18814	13.19483	15.80414	7.67233	10.18298	49.87496	36.07829	44.57236	41.58766	88.88885
2018-05-05 10:26:00	8630330696303481412	0.00000	16.08190	9.75272	13.17903	10.72930	9.82167	95.66887	82.30150	25.10325	85.38022	10.92565
2018-05-05 10:27:00	8630330696303482162	1.00000	11.99042	18.07249	9.18806	15.89812	11.02242	48.28986	66.93833	66.32221	47.26628	65.96693
2018-05-05 10:28:00	3590433799317661081	1.00000	10.27609	15.52417	14.46682	11.22646	11.25204	41.30595	37.23507	91.77821	64.38832	91.24219
2018-05-05 10:29:00	359043379931766908	1.00000	9.31348	15.77150	7.95447	11.89293	14.40253	96.47929	2.50099	31.01033	87.08799	67.38827
2018-05-05 10:30:00	359043379931766254	1.00000	14.68080	15.62073	10.83755	10.36419	10.38787	77.47920	2.68435	82.20325	79.40871	56.83446
2018-05-05 10:31:00	3590433799317661115	1.00000	11.46853	13.09591	11.01361	14.46509	12.89338	27.42600	38.31182	5.88498	52.71371	96.57658
2018-05-05 10:32:00	3590433799317662303	1.00000	15.92824	10.97931	8.08673	12.07686	11.90796	75.28659	28.61329	42.73304	45.09896	55.68826
2018-05-05 10:33:00	863033069630348354	1.00000	15.31022	14.78220	9.45936	12.29441	9.67119	93.42291	84.73087	43.29042	38.37806	74.23370
2018-05-05 10:34:00	359043379931766510	0.00000	12.77476	15.04320	8.58879	12.12166	11.48934	6.94873	1.30179	41.81493	31.95099	14.65352
2018-05-05 10:35:00	3590433799317662386	0.00000	17.94913	14.77977	15.50789	11.56012	7.30084	94.43914	2.98201	80.82355	27.61991	78.32892
2018-05-05 10:36:00	3590433799317661123	1.00000	9.75781	15.08288	11.91065	10.70767	15.16555	1.15833	48.60706	2.20946	82.00168	40.17099
2018-05-05 10:37:00	863033069630348644	0.00000	16.15140	8.92356	7.78195	10.96258	14.83734	46.22839	17.30410	5.51942	86.07627	34.31393
