latitude	longitude	store_name	code	location	imei
32.5007	-94.74049	Longview	US	America/Chicago	863033069630348388
50.80904	8.77069	Marburg an der Lahn	DE	Europe/Berlin	359043379931766908
-31.95224	115.8614	Perth	AU	Australia/Perth	3590433799317662410
18.20854	-71.10077	Santa Cruz de Barahona	DO	America/Santo_Domingo	8630330696303481511
-29.2975	-51.50361	Carlos Barbosa	BR	America/Sao_Paulo	359043379931766288
48.975658	14.480255	České Budějovice	CZ	Europe/Prague	863033069630348990
18.20854	-71.10077	Santa Cruz de Barahona	DO	America/Santo_Domingo	3590433799317661388
12.25282	79.41727	Gingee	IN	Asia/Kolkata	359043379931766809
34.75856	136.13108	Ueno-ebisumachi	JP	Asia/Tokyo	3590433799317662261
52.53048	13.29371	Charlottenburg-Nord	DE	Europe/Berlin	863033069630348974
54.03876	43.91385	Kovylkino	RU	Europe/Moscow	3590433799317661073
45.9836	12.70038	Cordenons	IT	Europe/Rome	359043379931766551
41.29444	69.67639	Parkent	UZ	Asia/Tashkent	8630330696303481883
4.92675	6.26764	Yenagoa	NG	Africa/Lagos	359043379931766288
32.50611	120.14278	Jiangyan	CN	Asia/Shanghai	3590433799317662352
-8.66667	-35.71667	Catende	BR	America/Recife	863033069630348370
42.4251	-71.06616	Malden	US	America/New_York	8630330696303481354
55.54028	89.20083	Sharypovo	RU	Asia/Krasnoyarsk	863033069630348073
50.80019	7.20769	Siegburg	DE	Europe/Berlin	3590433799317661289
30.16688	-96.39774	Brenham	US	America/Chicago	8630330696303482279
41.50343	-74.01042	Newburgh	US	America/New_York	359043379931766072
-29.2975	-51.50361	Carlos Barbosa	BR	America/Sao_Paulo	359043379931766189
49.952431	15.268654	Kutná Hora	CZ	Europe/Prague	863033069630348552
38.17492	-122.2608	American Canyon	US	America/Los_Angeles	8630330696303481024
50.72043	11.34046	Rudolstadt	DE	Europe/Berlin	3590433799317662170
56.9083	60.8019	Beryozovsky	RU	Asia/Yekaterinburg	863033069630348552
10.61285	12.19458	Biu	NG	Africa/Lagos	359043379931766627
45.53069	9.40531	Gorgonzola	IT	Europe/Rome	8630330696303481693
11.86064	9.0027	Gaya	NG	Africa/Lagos	359043379931766049
43.61058	1.33467	Colomiers	FR	Europe/Paris	8630330696303482295
