ts	imei	mwra	p.android.chrome	p.android.documentsui	p.android.packageinstaller	p.android.settings	p.android.gm	p.android.externalstorage	p.system	p.android.gms	p.dogalize	p.process.gapps	p.katana	p.google	p.notifier	p.android.defcontainer	p.android.vending	p.inputmethod.latin	p.simulator	p.olauncher	p.browser.provider	p.gms.persistent
2018-05-05 10:00:00	3590433799317661057	1.00000	15.88151	10.83542	15.97462	12.12376	9.73897	14.11933	11.74422	57.06520	0.40504	56.30151	58.68759	46.55151	51.61852	36.47510	17.56601	87.35626	32.00305	69.51890	69.85184	21.51831
2018-05-05 10:01:00	3590433799317661073	0.00000	16.89198	16.39170	10.22692	9.02866	16.18197	12.79136	12.15839	47.41195	1.11243	68.50058	45.16131	34.43891	63.83929	72.42246	54.04621	35.68114	44.97550	84.71218	8.04137	76.74900
2018-05-05 10:02:00	863033069630348099	1.00000	9.95414	9.05013	9.15072	11.85872	9.41125	11.50561	12.94889	62.43964	0.00111	52.07766	59.91103	35.04185	32.01296	76.63106	38.55901	34.45914	86.26472	66.72859	75.20188	49.75180
2018-05-05 10:03:00	359043379931766007	1.00000	9.35909	7.89428	12.10130	12.54558	9.23845	14.08136	7.81616	42.32762	0.00066	56.15971	38.57900	38.61052	31.39066	16.12547	4.37465	90.40601	62.42150	18.49800	14.90605	14.40552
2018-05-05 10:04:00	8630330696303482071	1.00000	13.88129	8.77764	12.65621	10.05725	9.68902	14.66419	14.59151	37.30862	0.05485	48.17719	59.85793	50.84054	55.76454	48.84111	73.05974	97.77579	64.18499	78.20817	75.25798	0.55074
2018-05-05 10:05:00	8630330696303482329	1.00000	9.80127	8.58451	7.63708	5.87103	14.52392	13.66853	12.98707	46.72020	0.00097	46.91339	64.38123	58.97774	80.06599	59.61683	29.48243	30.66169	98.99765	64.67280	65.76661	14.19024
2018-05-05 10:06:00	8630330696303481487	0.00000	11.12856	12.83886	14.86331	11.71945	16.31805	13.49337	17.37291	46.54471	0.00354	53.26753	40.82212	43.53007	65.45012	36.03193	40.76971	20.53614	21.67128	91.96360	33.91228	52.78811
2018-05-05 10:07:00	3590433799317661388	1.00000	12.52395	13.29899	12.85129	11.70935	11.42716	16.61472	6.38516	43.88365	0.01418	49.45052	74.73139	41.76454	62.12574	62.45112	61.83892	95.82244	92.98911	93.24458	83.82354	0.72095
2018-05-05 10:08:00	863033069630348727	0.00000	15.79958	14.00879	14.19147	7.13504	14.84219	13.34386	13.18115	31.31814	0.37313	54.41766	47.06417	69.38430	48.13210	19.65930	56.41889	57.22432	10.63045	2.44741	46.30977	8.76861
2018-05-05 10:09:00	359043379931766577	0.00000	14.00228	15.54300	10.18945	7.96470	12.71559	10.85621	10.82707	42.74652	0.06187	58.08928	63.16222	53.74141	60.74757	78.33982	58.84210	2.49530	42.78984	21.63679	15.12872	5.78237
2018-05-05 10:10:00	359043379931766361	1.00000	13.71696	10.77790	8.44551	12.54018	9.17351	11.88147	13.63193	43.97154	0.04651	49.15280	55.40098	61.58700	66.55408	24.76267	54.06220	37.10255	86.44098	42.66322	79.62924	32.21766
2018-05-05 10:11:00	3590433799317661628	0.00000	13.18855	14.88176	13.82486	10.03396	13.25554	9.13765	16.66120	64.39886	0.02743	41.67281	58.91922	62.54247	61.68227	12.18017	52.73821	6.20054	25.89908	15.96420	57.38222	48.76996
2018-05-05 10:12:00	359043379931766627	1.00000	13.85426	7.54021	14.16081	11.96911	9.98263	17.61962	12.28559	64.35107	0.05340	49.45797	75.36839	58.40448	38.25982	6.34873	22.72894	1.94701	64.03373	35.56872	30.01002	60.48791
2018-05-05 10:13:00	3590433799317662030	0.00000	14.15103	14.89559	9.78576	11.53133	14.96903	13.07369	14.65498	76.69975	0.07178	68.25340	76.60606	31.76456	75.96000	57.96726	26.96693	88.54959	18.86992	67.48404	90.40259	49.63818
2018-05-05 10:14:00	359043379931766270	1.00000	11.21548	11.83649	10.96263	12.16715	10.95552	15.23983	9.81482	64.52868	0.00387	59.00862	53.04433	28.28455	47.67853	38.88149	3.28238	64.25596	33.33743	84.89942	72.04480	20.81048
2018-05-05 10:15:00	863033069630348727	0.00000	12.22660	10.74760	10.01785	13.49814	10.39541	12.74051	7.76682	42.08468	0.01053	54.20859	64.17448	22.50177	44.52686	44.30497	61.00949	22.98212	8.73841	45.75488	62.04590	55.02127
2018-05-05 10:16:00	359043379931766809	1.00000	13.11656	9.92982	8.05892	11.80216	10.39906	11.79937	12.47958	43.57706	0.02554	76.47389	47.09653	33.58806	56.98532	5.11850	76.55023	93.00448	45.51332	81.83378	31.45122	60.57305
2018-05-05 10:17:00	863033069630348297	1.00000	9.40408	10.13608	9.68428	11.28135	10.01476	14.61733	9.55212	35.64079	0.00068	65.25560	43.00206	64.79758	63.13567	25.95669	23.16750	34.60511	91.77418	40.33727	38.37135	59.38799
2018-05-05 10:18:00	359043379931766825	1.00000	11.25957	10.05179	10.64340	9.57413	8.45246	14.34593	9.28286	51.09239	0.00403	51.23562	63.09580	37.81273	67.92570	91.97973	48.44643	44.56985	97.57676	88.31778	50.28583	40.17271
2018-05-05 10:19:00	359043379931766205	0.00000	12.01617	14.12288	11.46972	9.97956	11.24075	12.70997	12.45786	56.48582	0.00855	58.96650	78.54222	67.14293	37.72928	78.13428	60.82888	73.20295	33.51913	39.71847	74.52128	43.79785
2018-05-05 10:20:00	8630330696303481297	1.00000	13.71337	9.83710	14.04522	14.16854	11.39509	10.53647	14.70090	26.87090	0.04636	46.30467	51.92037	67.14155	68.53557	29.57705	54.93603	14.91553	51.47014	21.10600	32.30902	18.39875
2018-05-05 10:21:00	359043379931766502	0.00000	12.68724	13.74135	14.70038	8.04978	13.68657	12.41114	15.12141	48.32847	0.01664	49.62193	61.74727	44.83441	65.15150	18.07647	87.58229	79.69051	45.38152	73.25683	51.67822	99.36538
2018-05-05 10:22:00	3590433799317662154	0.00000	9.14868	15.99670	17.28629	11.70455	16.02042	9.10190	14.17554	38.79994	0.00049	52.68553	44.50295	43.43745	52.40804	64.33817	80.69167	14.58414	92.37298	3.93496	36.57019	56.71101
2018-05-05 10:23:00	359043379931766882	1.00000	11.35001	13.63708	11.11598	11.22059	8.59034	10.95424	6.31309	67.31720	0.00442	47.86081	51.32636	34.81291	51.43312	96.24136	99.76088	75.93068	66.92862	28.10486	80.12799	84.82709
2018-05-05 10:24:00	8630330696303481420	0.00000	11.55622	14.67473	12.97574	11.91181	13.16326	6.87663	14.01521	31.00738	0.00545	42.91832	50.34855	47.66211	60.65744	99.73755	99.48311	34.43153	72.21527	6.02708	46.80402	50.27027
2018-05-05 10:25:00	359043379931766908	0.00000	13.17514	12.35589	12.04546	12.34992	13.13253	17.40850	12.80930	42.90026	0.02708	49.09511	56.68713	56.41571	45.50304	95.60715	39.84578	71.03944	81.11550	17.10702	52.61213	70.03750
2018-05-05 10:26:00	8630330696303481412	0.00000	16.13226	13.54847	9.89098	8.54632	14.93755	12.75335	15.23041	34.49682	0.52039	67.72009	65.03032	61.71718	51.98759	71.01994	93.14908	64.45600	65.94162	50.10986	95.03138	53.02146
2018-05-05 10:27:00	8630330696303482162	1.00000	11.36466	11.90580	7.68735	7.07224	11.96258	12.12834	14.79011	51.15314	0.00446	48.94853	44.13258	55.33110	42.36573	66.82089	34.43511	45.40063	71.95405	52.50237	37.07839	75.51547
2018-05-05 10:28:00	3590433799317661081	1.00000	16.94978	8.11294	17.43569	10.58898	7.62103	20.07849	13.73354	36.19194	1.17862	57.31933	45.94943	61.37533	29.25097	72.88675	8.27066	56.13665	92.33638	35.60691	13.20026	59.75550
2018-05-05 10:29:00	359043379931766908	1.00000	12.61281	9.48879	10.38979	8.23835	12.59610	15.87294	8.61105	39.95438	0.01547	45.58228	53.61415	42.14464	37.29610	40.53013	25.52232	53.94368	51.76100	39.04479	87.01880	56.22217
2018-05-05 10:30:00	359043379931766254	1.00000	14.36953	11.13544	16.69345	12.35723	10.78706	13.94319	15.92038	71.15873	0.08930	56.00900	67.02744	32.72153	52.87248	38.40376	23.74070	43.25599	28.33304	62.46853	36.17934	73.47092
